Period,Value
Jan-16,"4,48,325"
Feb-16,"4,52,555"
Mar-16,"4,51,132"
Apr-16,"4,53,034"
May-16,"4,54,683"
Jun-16,"4,59,088"
Jul-16,"4,58,579"
Aug-16,"4,59,022"
Sep-16,"4,61,893"
Oct-16,"4,63,240"
Nov-16,"4,62,994"
Dec-16,"4,68,076"
Jan-17,"4,73,832"
Feb-17,"4,73,582"
Mar-17,"4,72,693"
Apr-17,"4,75,335"
May-17,"4,73,242"
Jun-17,"4,74,798"
Jul-17,"4,75,045"
Aug-17,"4,75,653"
Sep-17,"4,86,056"
Oct-17,"4,86,635"
Nov-17,"4,90,648"
Dec-17,"4,92,996"
Jan-18,"4,92,600"
Feb-18,"4,94,815"
Mar-18,"4,94,747"
Apr-18,"4,95,967"
May-18,"5,02,351"
Jun-18,"5,01,133"
Jul-18,"5,03,834"
Aug-18,"5,02,875"
Sep-18,"5,02,407"
Oct-18,"5,08,036"
Nov-18,"5,08,471"
Dec-18,"4,97,541"
Jan-19,"5,05,036"
Feb-19,"5,04,686"
Mar-19,"5,12,602"
Apr-19,"5,15,296"
May-19,"5,17,236"
Jun-19,"5,19,205"
Jul-19,"5,22,198"
Aug-19,"5,24,547"
Sep-19,"5,22,261"
Oct-19,"5,24,853"
Nov-19,"5,25,014"
Dec-19,"5,25,467"
Jan-20,"5,29,616"
Feb-20,"5,27,273"
Mar-20,"4,83,476"
Apr-20,NA
May-20,NA
Jun-20,NA
Jul-20,NA
Aug-20,NA
Sep-20,NA
Oct-20,NA
Nov-20,NA
Dec-20,NA
